Category,Location,Category Encoded,Lat,Long,Open hours,Price Level,Lat_rad,Long_rad,Min Dist to next,cluster,place_id
Churches,San Luigi dei Francesi,1,41.8996366,12.4748126,"['Monday: 9:30\u202fAM\u2009–\u200912:45\u202fPM, 2:30\u2009–\u20096:30\u202fPM', 'Tuesday: 9:30\u202fAM\u2009–\u200912:45\u202fPM, 2:30\u2009–\u20096:30\u202fPM', 'Wednesday: 9:30\u202fAM\u2009–\u200912:45\u202fPM, 2:30\u2009–\u20096:30\u202fPM', 'Thursday: 9:30\u202fAM\u2009–\u200912:45\u202fPM, 2:30\u2009–\u20096:30\u202fPM', 'Friday: 9:30\u202fAM\u2009–\u200912:45\u202fPM, 2:30\u2009–\u20096:30\u202fPM', 'Saturday: 9:30\u202fAM\u2009–\u200912:15\u202fPM, 2:30\u2009–\u20096:30\u202fPM', 'Sunday: 11:30\u202fAM\u2009–\u200912:45\u202fPM, 2:30\u2009–\u20096:30\u202fPM']",0.0,0.7312866140591223,0.21772655343927438,153.20104836282738,2,ChIJLQGCLlBgLxMRuYQp8kv6syI
Churches,Basilica di Santa Maria del Popolo,1,41.911491,12.4766557,[],0.0,0.7314935123699707,0.2177587216027179,65.39048014279201,6,ChIJn8_twvhgLxMRrSlE7RYxCbg
Churches,Basilica di San Pietro in Vincoli,1,41.8937522,12.492819,"['Monday: 8:00\u202fAM\u2009–\u200912:30\u202fPM, 3:00\u2009–\u20096:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u200912:30\u202fPM, 3:00\u2009–\u20096:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u200912:30\u202fPM, 3:00\u2009–\u20096:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u200912:30\u202fPM, 3:00\u2009–\u20096:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u200912:30\u202fPM, 3:00\u2009–\u20096:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u200912:30\u202fPM, 3:00\u2009–\u20096:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u200912:30\u202fPM, 3:00\u2009–\u20096:00\u202fPM']",0.0,0.731183911904618,0.2180408244057055,396.8493708399021,3,ChIJ9TEpHrFhLxMRMNSr5HbcOzI
Churches,Chiesa del Gesù,1,41.8959012,12.4793513,"['Monday: 7:30\u202fAM\u2009–\u200912:30\u202fPM, 4:00\u2009–\u20097:30\u202fPM', 'Tuesday: 7:30\u202fAM\u2009–\u200912:30\u202fPM, 4:00\u2009–\u20097:30\u202fPM', 'Wednesday: 7:30\u202fAM\u2009–\u200912:30\u202fPM, 4:00\u2009–\u20097:30\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u200912:30\u202fPM, 4:00\u2009–\u20097:30\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u200912:30\u202fPM, 4:00\u2009–\u20097:30\u202fPM', 'Saturday: 7:30\u202fAM\u2009–\u200912:30\u202fPM, 4:00\u2009–\u20097:30\u202fPM', 'Sunday: 7:45\u202fAM\u2009–\u20091:00\u202fPM, 4:00\u2009–\u20098:00\u202fPM']",0.0,0.7312214190302433,0.21780576869803464,256.86323073881914,5,ChIJK1-CN0xgLxMRZukH0_lPL70
Churches,Santa Maria sopra Minerva,1,41.8979888,12.4780226,"['Monday: 11:00\u202fAM\u2009–\u20091:00\u202fPM, 3:00\u2009–\u20097:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u20091:00\u202fPM, 3:00\u2009–\u20097:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20091:00\u202fPM, 3:00\u2009–\u20097:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20091:00\u202fPM, 3:00\u2009–\u20097:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20091:00\u202fPM, 3:00\u2009–\u20097:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20091:00\u202fPM, 3:00\u2009–\u20097:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u20091:00\u202fPM, 3:00\u2009–\u20097:00\u202fPM']",0.0,0.731257854523708,0.21778257850826338,117.63589552158194,2,ChIJU-kfDE5gLxMR1LRHd9Rfx04
Churches,Sant'Ignazio di Loyola Church,1,41.8990933,12.4797097,"['Monday: 9:00\u202fAM\u2009–\u200911:30\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u200911:30\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u200911:30\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u200911:30\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u200911:30\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u200911:30\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u200911:30\u202fPM']",0.0,0.7312771316852962,0.2178120239580738,185.95984803022515,0,ChIJzeDkbVJgLxMRf9wy9vdWbgw
Churches,Santa Maria della Pace,1,41.8998551,12.471651,"['Monday: 9:30\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 9:30\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 9:30\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 9:30\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 9:30\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 9:30\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: 9:30\u202fAM\u2009–\u20096:00\u202fPM']",0.0,0.731290427603538,0.21767137310964332,140.68376940123727,2,ChIJVwUlsVpgLxMRPaJOt8e6icE
Art Galleries,Palazzo Barberini,2,41.90329080000001,12.4898145,"['Monday: Closed', 'Tuesday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20097:00\u202fPM']",0.0,0.7313503918806489,0.21798838598832931,184.40409300630427,0,ChIJk7HQeqlhLxMRwIY3JsnfdjU
Art Galleries,Galleria Doria Pamphilj,2,41.89797819999999,12.4815742,"['Monday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20098:00\u202fPM']",0.0,0.7312576695188071,0.21784456562197724,197.9594128934495,0,ChIJF0obe01gLxMR0JJHtlD0kMY
Art Galleries,Palazzo Altemps,2,41.9010945,12.47315,"['Monday: Closed', 'Tuesday: 9:30\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 9:30\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 9:30\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 9:30\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: 9:30\u202fAM\u2009–\u20097:00\u202fPM', 'Sunday: 9:30\u202fAM\u2009–\u20097:00\u202fPM']",0.0,0.7313120592142871,0.21769753559513072,185.43005721573596,2,ChIJPRgYblBgLxMRB--q_Tzt4wY
